发布时间,微博内容
2023-01-17 23:27:00,【#全国今起严查酒驾醉驾行为#】公安部交管局部署，今起在全国开展酒驾醉驾集中整治，严防酒驾醉驾肇事导致的恶性交通事故，公安交管部门将动态调整城乡勤务部署。（来源：央视财经）央视财经的微博视频 
2023-01-17 23:22:35,#张若昀和唐艺昕是朋友聚会认识的# 发生了交通事故怎么可能浪漫，yxh瞎编你们也信，偶像剧看多了吧，还有爱尔兰不能离婚也在节目上辟谣了，张若昀专注于打破你们的幻想，所以别把爱情寄托在他身上了 
2023-01-17 23:21:50,#张若昀和唐艺昕是朋友聚会认识的#第一次见是追尾 交通事故这种东西大家都不是很开心  所以不欢而散了  第二次见就是偶然间在朋友聚会上了  朋友们还让张若昀送唐艺昕回家  就是这样  广场上都多少人解释了  有些人是不是看不见 
2023-01-17 23:18:53,1月17日，@公安部交通管理局 部署今日起在全国开展酒驾醉驾集中整治行动，严防酒驾醉驾肇事导致的恶性交通事故。 
2023-01-17 23:18:46,现在电动车越来越多，他们和正常机动车相似，在遇到交通事故的时候却给予最轻的处罚，也往往让喝酒驾驶的人钻了空子，希望能够相关立法能够进一步完善。 
2023-01-17 23:16:26,对于交通事故这件事儿我也算是有经验的人了 
2023-01-17 23:16:05,【#民警凭遗留车牌找到酒驾逃逸司机#】1月15日，宜昌当阳市公安局接警称发生交通事故。民警赶到现场后发现，栏杆被撞断。民警凭借地上遗留的一块车牌找到嫌疑人周某，周某如实陈述其酒驾撞毁护栏后逃逸的事实。目前，周某被作出罚款1900元并处行政拘留4日的处罚。 平安湖北的微博视频 
2023-01-17 23:15:20,今年的高速交通事故尤其多。到底是两年没开一箱油的新手菜了？还是老司机左插又插还不打转向导致的？ 不知名网红小陈的微博视频 
2023-01-17 23:12:16,【春节前开展隐患排查工作 筑牢安全防线】#平安春运交警同行##道路隐患排查# 为切实做好春节前道路交通管理工作，及时发现并消除道路交通安全隐患，有效预防和减少道路交通事故的发生。1月17日日，@荥经交警 对城区所有路段再一次进行安全隐患排查工作，切实做到不漏一处，不留死角。#平安春运手册#  ...全文
2023-01-17 23:11:28,#倾听师郑立寒#  现在有一个感悟是，要去相信。相信别人对自己的善意，相信别人的责任心，相信这个世界会对自己温柔以待。为什么说相信呢？比如坐车，如果你不相信司机的责任心，你可能就会不安，害怕出现交通事故。比如游泳，如果你不相信水的包容，你去接触水的时候也会恐惧。只有当你信任后 ...全文
2023-01-17 23:06:53,#安徽一劳斯莱斯婚车撞上石墩受损严重#新郎家不需要赔偿没有看清楚车与婚礼的关系，无论什么关系，保险公司要赔偿。保险公司赔钱不足部分，如果与婚庆公司签订协议，由婚礼公司自行承担。如果是雇佣个人，或者朋友帮忙，都由交通事故的责任人赔偿。新郎家不需要赔偿！ ...全文
2023-01-17 23:05:35,崇信公安交警2023年春节假期交通安全“两公布一提示”2023年春节长假即将来临，为确保广大群众春节出行安全、出行顺畅，最大限度预防和减少交通事故，给群众出行创造安全畅通的道路交通环境。结合我县实际，崇信县公安局交警大队将春节期间辖区交通安全形势预判、隐患路段及安全提示等情况公布提示如 ...全文
2023-01-17 23:02:39,#张若昀和唐艺昕是朋友聚会认识的#想到了那个甜甜的备忘录，她爱吃樱桃🍒印象中是因为追尾认识的，原来第一次见面是交通事故追尾，不过双方不欢而散，后来再次在朋友聚会那么巧又遇见了才正真结缘认识。很喜欢唐艺昕笑起来好甜 
2023-01-17 22:59:56,【迎新春，公安交警送法进农村】#平安春运交警同行# 随着春节的临近，农村返乡人车流急剧攀升，交通事故隐患也随之凸显。近期，@雅安市交警支队直属二大队 积极送法下乡，并联合辖区各乡镇政府、交通安全劝导员，群策群力做好农村地区交通安全宣传劝导工作，共保农村广大群众春节出行平安。 ...全文
2023-01-17 21:34:31,【#毕节高速连环追尾乘客及时下车躲过一劫#】1月16日，S20毕威高速遵义往威宁方向多车发生碰撞事故，有事故车司乘人员刚下车躲避，就有货车刹车不及失控撞上。当地应急部门称，至17日12时，未造成亡人交通事故，当地多部门已连发预警信息，路政等部门正撒盐除冰。（新京报我们视频） ...全文
2023-01-17 22:54:52,新春佳节 建议车技不熟练的 可以让熟悉的驾驶员开车🚗  避免交通事故和悲剧 受冷空气影响 我国多省高速路上  道路结冰 容易发生连环追尾事故 请大家在返乡前看好路线 避免发生意外 谨慎 勿超速 驾驶 ，愿大家平平安安到家～欢欢喜喜和家人团聚 
2023-01-17 22:51:50,无偿帮工发生交通事故是否需要赔偿？ 
2023-01-17 12:55:46,高速上出了交通事故，总有人喜欢在超车道上站一堆 不二车探的微博视频 
2023-01-17 22:44:04,#四川高速路况# 【站口关闭】1月17日22时30分，G65包茂高速达渝段，百节站、石河站入口，因交通事故收费站关闭。 
2023-01-17 22:42:54,#张若昀和唐艺昕是朋友聚会认识的#你俩不是因为红绿灯交通事故认识的吗 还是张若昀亲自说的啊 难道我记错啦？ 
2023-01-17 22:41:22,小度：有车主提问本地是否发生交通事故。我：没有，gzq正在开车。小度：好的谢谢，您的回答已帮助其它车友。 
2023-01-17 22:40:37,【公安部交通管理局：#全国今起严查酒驾醉驾行为#】春节日益临近，节日期间酒驾醉驾违法犯罪行为相对多发，易肇事肇祸。为守护群众平安过年，公安部交通管理局部署在全国开展酒驾醉驾集中整治行动，严防酒驾醉驾肇事导致的恶性交通事故。行动期间，公安交管部门将结合春节期间人员流动、节日习俗、民俗 ...全文
2023-01-17 22:37:04,#新手司机驾车坠塘一家三口身亡#最近交通事故太多了……马上就要过年，心痛 
2023-01-17 22:32:04,#畅行内蒙古##交通安全预警# 【事故案例警示曝光丨超速驾驶危害大 无视安全酿事故】交通事故猛于虎，每一次交通事故的发生都可能会伴随着严重的后果，甚至是车毁人亡的惨剧，因此，作为机动车的驾驶人，必须要严格遵守交通规则，规范文明驾驶车辆。2022年7月19日，呼伦贝尔市新左旗发生了一起严重的道 ...全文
2023-01-17 22:28:33,#平安春运 交警同行# 欢欢喜喜迎新春，交通安全记心中，炎陵交警走进辖区客运企业、国省道沿线村庄、农村等地张贴2023年春运宣传海报，悬挂交通安全提示横幅，开展交通安全宣传活动，预防和减少道路交通事故的发生，切实筑牢道路交通安全防线，形成了“随处可见”的宣传效果。#共筑平安中国年#  ...全文
2023-01-17 22:26:15,近日，由于存在安全隐患，蔚来宣布召回部分2022年款蔚来ET5电动汽车，共计997辆。还有用户在黑猫上反馈，购买的蔚来EC6发生交通事故，气囊竟然未弹开，质疑存在安全隐患。蔚来的烦恼不止如此。蔚来汽车2022年初的交付目标为15万辆，实际全年累计交付量为12.25万辆，并未完成年度KPI。销量之外，盈利 ...全文
2023-01-17 22:25:30,#抗凝保畅 我在岗# 为防止低温天气造成路面凝冻引发交通事故的情况发生，2023年1月17日22时许，补郎派出所组织警力对辖区018县道等堆至三十五公庄易凝冻路段进行巡查，现该路段路面湿滑，暂无凝冻，暂时可正常通行，气温监测点显示温度为零下2.5度，警员们综合采取人员值守、巡逻喊话等措施，最大限度 ...全文
2023-01-17 22:22:08,#甘肃路网实时路况# G22青兰高速定西往平凉方向，静宁收费站附近K1659处发生交通事故，道路半幅单车道通行，请途经车辆减速慢行，注意行车安全。 
2023-01-16 17:03:02,#以案普法# 【交通事故中，已过法定退休年龄，误工费能赔吗？】在机动车交通事故责任纠纷案件中，经常会出现交通事故受害人已超过法定退休年龄的情况。对此，保险公司或侵权人经常以受害人已超过法定退休年龄，不能再从事正常工作为由，抗辩受害人不存在误工费损失。那么，到底要不要赔偿呢？请看今日 ...全文
2023-01-17 22:18:54,最近的日常……不好的天气，拥堵的车辆，不停遇见交通事故，新冠导致的疼痛。 
2023-01-17 22:16:37,#春运#【仙桃市民，春运安全出行看这里！】2023年春运从1月7日开始至2月15日结束，为期40天。春运是一年中公路客货流量最集中、人员流动最频繁的时期，也是道路交通事故易发高发期。为确保广大群众节日出行安全，仙桃交警发布春运期间（春节）“两公布一提示”，请广大交通参与者合理选择出行时间、线 ...全文
2023-01-17 22:15:34,每次出门都会遇见大大小小的交通事故。希望每位司机都注意安全，提升技术，不做马路杀手。平安回家。 
2023-01-17 22:11:39,#公告##平安春运交警同行# 关于2023年春节期间县城区重中型货车临时集中停放的公告为进一步缓解春节期间城区道路交通压力，预防和减少交通事故，保障人民群众出行安全、畅通。经多方协调，重中型货车实行临时集中停放，现将临时停放有关要求公告如下。一、临时停放时间：2023年1月18日至1月27日二 ...全文
2023-01-17 07:30:00,法姐讲法 【发生交通事故后“私了”，还申请保险理赔？任战敏律师权威解读】#法治微课堂#我们来听观众打来的电话录音（前几天我与一私家车发生了剐蹭，最后我们俩双方达成和解，对方赔偿我3000元的维修费用。因为我也投了保险，所以我想咨询一下，交通事故私了后，还能向保险公司申请理赔吗？ ...全文
2023-01-17 21:40:49,刷到个车祸视频车厢后排视角仅仅一秒钟左边的颈椎断裂…中间的死不瞑目…右边的头骨碎裂…最让人遍体生寒的是一眼看去仿佛什么都没有发生没有血肉横飞没有断肢残骸但你就是知道三个鲜活的生命消失了以往看 交通事故video还不觉着这次是真的吓到了 
2023-01-17 15:49:21,#亚检说法# 【每日学“典”：出借汽车发生事故，谁用谁赔偿】《中华人民共和国民法典》第一千二百零九条：因租赁、借用等情形机动车所有人、管理人与使用人不是同一人时，发生交通事故造成损害，属于该机动车一方责任的，由机动车使用人承担赔偿责任；机动车所有人、管理人对损害的发生有过错的，承担 ...全文
2023-01-17 21:40:01,这是真实的交通事故视频，电影都不敢这么拍。 #我的新年欢乐祈愿# #微博幽默年度大赏#  笑趴了的微博视频 
2023-01-17 21:39:24,开了十来年车第一次遭遇这么大的交通事故，二广高速五车追尾，前面车急刹，我是第三个，我前面有一个车没事走了，我踩住了，我后面的也踩住了，最后那个没踩住，然后嗵嗵两声。往太谷东高速交警队走还没找对调头的口，硬生生多走了一个多小时路程。 #冒个泡# 
2023-01-17 21:31:20,#教科书版的高速上遇到事故做法#高速开快车容易造成交通事故的 
2023-01-17 16:43:26,要过年了，提醒一下各位，非常老的话了：司机一滴酒，亲人两行泪。喝酒不开车，开车不喝酒。首先，因酒驾造成的交通事故，保险中只有交强的这一部分起效，其余商业险这部分保险公司是不赔的。另外，即便是交强赔付的部分，保险公司也可以找酒驾责任人追偿。所以综合起来，只要你酒驾造成交通事故，基 ...全文
2023-01-17 21:20:54,#公安部今天起严查酒驾醉驾#【酒驾猛于虎，不当酒后司机】酒后驾车已经被世界卫生组织列为车祸致死的主要原因，是交通事故的一大“杀手”。#消防安全# 提醒：拒绝酒驾！对生命负责！ 
2023-01-17 21:18:58,#晋城要闻#【紧急提醒！晋城这里禁行！】川底镇人民政府关于对川底至南畔道路实行临时交通管制的通告近日，受降雪、低温等天气影响，我镇至南畔道路积雪结冰严重，为保障人民群众生命财产安全，预防道路交通事故发生，决定从即日起对该道路实行临时封闭交通管制，禁止车辆通行，解除时间另行通 ...全文
2023-01-17 21:12:04,#高速路况# 沈海高速K674日照方向交通事故处理完毕。（青岛高速出行服务平台提供） 
2023-01-17 21:06:46,"2023年1月17日21:08包茂高速榆靖段靖边方向黄蒿界至靖边之间K406的交通事故已处理完毕,道路恢复正常通行。 "
2023-01-17 20:59:57,#官方回应女司机开车坠塘一家三口溺亡#每次碰到交通事故，都有一小撮人打拳，非要在司机是男是女的事上耍小聪明，都是太闲了。 
2023-01-17 20:53:18,#安康高速路况信息# 截至2023年1月17日20:37        因京昆高速西安辖区发生交通事故，在西安方向林场停车区及秦岭服务区  B区进行临时交通管制，预计半个小时。请途经此路段的驾驶员朋友，保持安全车速和车距，听从现场民警指挥。请拨打报警服务电话0915-8184444。安康交警祝您一路平安！ 
2023-01-17 20:52:27,【疼够呛！周宁一男子醉驾“蛇形”数百米后直接撞向垃圾桶，砰......】1月9日21时11分许，张某醉酒后驾驶普通二轮摩托车行驶至周宁县公安局门口附近路段时，由于酒精作用，张某蛇行数百米后，径直撞向道路右侧垃圾桶，造成张某受伤、车辆受损的交通事故。事故发生后，张某被送至周宁县医院治疗。当晚 ...全文
2023-01-17 16:10:09,【事故后逃离现场，不仅全责还会加重处罚！】#平安春运交警同行##覆车之戒# 1月3日18时26分许，岳某仕驾驶川YS7***号普通二轮摩托车行驶至巴中市巴州区宕梁-江北（龙泉外国语学校后门）路段时，与行人余某发发生碰撞后驾车驶离现场，造成余某发受伤、车辆受损的道路交通事故。1月5日，@巴中公安交警 巴 ...全文
2023-01-17 12:11:53,【会车不减速靠右 相撞酿事故负全责】#覆车之戒# 1月5日15时40分许，范某某驾驶豫C7***W号小型普通客车行驶至资阳市安岳县通贤镇至重石村路段4公里500米处时，与相对方向行驶的马某某驾驶川M0***0号小型轿车会车过程中发生碰撞，造成马某某受伤及两车受损的道路交通事故。经@安岳交警 依法认定：范某某 ...全文
2023-01-17 20:47:59,#暖心警事#【天冷，蜀黍暖】2023年1月17日下午14时25分，沐川县公安局特巡警大队队员车巡途中，途经虎溪桥遇交通事故，队员立即前往了解情况，立即维护现场交通秩序，并联系事故中队到现场妥善处置。 
2023-01-17 20:43:09,"#平安春运交警同行# 【司机操作不当引发交通事故，需警惕！】 2022年12月17日15时许,杨某某驾驶号牌为陕K955**号小型汽车，在鄂尔多斯市乌审旗沿G338线由西向东行驶至1057KM处时，因操作不当导致车辆驶下路基，造成车辆、草场网围栏及树木受损的道路交通事故。@鄂尔多斯交警 提示：驾驶人在行车过程中 ...全文"
2023-01-17 20:42:58,#陕西治安# 【联合调解风雨无阻 为民解难责无旁贷】渭南韩城西庄所辖区两家人因交通事故赔偿产生纠纷，双方矛盾不断，纠纷难以下调。值班民警得知情况及时介入，了解前因后果，同时联合交警大队、村委迅速启动联合调解机制，经过三方努力，于1月16日双方达成一致，问题得到妥善处置，获得群众一致好评 ...全文
2023-01-17 20:40:38,#甘肃路网实时路况# G75兰海高速兰州往临洮方向，过新七道梁隧道约4公里K24处发生交通事故，道路半幅单车道通行，请途经车辆减速慢行，注意行车安全。 
2023-01-17 20:39:39,发布了头条文章：《警示曝光 ▏石嘴山市典型交通事故案例（1月- 8起）》  警示曝光 ▏石嘴山市典型交通事故案例（1月- 8起） 
2023-01-17 20:39:06,#四川高速路况# 【交通事故】1月17日20时32分，G42沪蓉高速南广段南充至广安方向，谭家沟枢纽处，发生两小车追尾事故，占用超车道，请过往车辆注意避让。 
2023-01-17 20:38:50,N多年的交通事故案件暂告一段落😮💨往后余生，健康，平安，好运连连！ 
2023-01-17 20:36:57,交通事故：一司机VS 女司机 
2023-01-17 20:36:21,"看到的科三必过！！！真的很无语啊，考个科三还要另外收费，沧州市华通中捷考试路线，能过要靠100％和“超”能力，自己悟吧。没有money,就考试只会浪费时间一直练、等、考、挂，果然有钱能使鬼推磨。能不能负责一点，技术不够硬容易出交通事故啊，真的有点寒心啊，第一次裸考，危险驾驶给我整得真够无 ...全文"
2023-01-17 20:35:44,"2023年1月17日20:36包茂高速榆靖段靖边方向黄蒿界至靖边之间K406处发生交通事故,事故路段道路封闭。 "
2023-01-17 20:33:58,【道路交通管制信息】昭阳区公安分局交通警察二大队2023年01月17日19时37分实时路况信息：受持续低温天气影响，G247景昭线（大凌子口路段）、G213策磨线（小凌子口路段）路面现已开始结冰，最低气温零下7℃且正在下雨夹雪！恶劣气象条件，易发交通事故，严重影响交通安全！为保护人民群众生命财产安全 ...全文
2023-01-17 20:33:37,《史无前例的MPV遭货车连环碰撞，中国汽车安全已走在世界前沿》这无疑是MPV最怕遇到的交通事故，尤其是后方的追尾碰撞，直接威胁第三排乘客的生命安全。网页链接 
2023-01-17 20:30:28,1月17日上午，永宁交警大队走进胜利乡烽火村，开展农村道路交通安全宣传工作，播放农村道路交通安全宣教音频，同时向周边村民宣传交通安全知识，特别是举办各类民俗活动更需严格遵守交通法律法规，预防和减少道路交通事故的发生。 永宁县交警大队的微博视频 
2023-01-17 20:17:53,#平安春运交警同行# 【夜查酒驾  筑牢辖区春节前道路安全防线】为扎实做好春运期间道路交通管理工作，严防因涉酒道路交通违法行为引发的道路交通事故，1月17日晚，澄城公安交警开展夜查酒驾整治行动，严厉打击夜间酒驾等交通违法行为，切实给广大人民群众创造平安畅通的春运、春节道路交通环境。 
2023-01-17 20:16:46,#四川高速路况# 【交通事故】1月17日20时10分，G4202成都绕城高速西段内环成彭立交生1起追尾事故，占超车道，请过往车辆注意避让。 
2023-01-17 20:15:56,前几天路上遇到的一起交通事故，看两车这身位，可能是传祺要准备右转，然后大众着急超车，然后就蹭上了。单向仅一条车道的小路，就这么一点儿小剐蹭，塌(马勒)码(隔壁)的没一个挪车的，后面所有车都被堵着，逼得公交车都压到马路牙子上去了。轻微事故不先挪车先打电话，这是要给家里准备报丧吗？毫 ...全文
2023-01-17 20:13:28,【#团伙专盯酒驾人员碰瓷诈骗20万#：抓住司机不敢报警的软肋牟取暴利】近日，山东泰安。东平县公安局民警在开展夜间大巡防时发现，县城饭店、KTV、酒吧附近有些人鬼鬼祟祟形迹可疑。通过调查发现，这些人专门“盯梢”酒后驾驶机动车人员，故意制造交通事故，利用对方酒驾不敢报警的心理，以“碰瓷儿” ...全文
2023-01-17 20:11:55,1月17日贵州 路面结冰引发交通事故#路面结冰##贵州##社会百态##路面结冰事故多##微博爆料# 夜聞会的微博视频 
2023-01-17 20:11:38,为有效预防春运期间交通事故的发生，减少事故安全隐患，切实保障春运期间道路的安全有序，为即将到来的春节假期群众出行创造一个良好的道路交通环境。苏银交警结合辖区春运道路交通管控工作实际，紧盯国省道、农村道路重点路段、重点时段不漏管、不失控，以“严查处、保安全、保畅通、防事故”为目标， ...全文
